id_venta,fecha,motivo_descarte,vendedor_id,vendedor_nombres,vendedor_apellidos,vendedor_documento,id_detalle,id_producto,producto,talla,cantidad_unitaria,precio_unitario,total_producto,total_productos_vendidos,total_pagar
1,2025-12-26,venta_invalida,8,Felipe,Sanchez Diaz,97205801,1,7654,Pantalon,34,-3,108324.74,324974.22,3,324974.22
3,2026-03-04,venta_invalida,23,Camila,Navarro Ruiz,13182175,1,8527,Pantalon,36,4,86924.41,347697.64,9,-501758.09
3,2026-03-04,venta_invalida,23,Camila,Navarro Ruiz,13182175,2,2792,Gorra,Unica,5,30812.09,154060.45,9,-501758.09
6,2025-11-25,venta_invalida,18,Camila,Castillo Sanchez,72597961,1,3722,Vestido,XL,6,-83802.38,502814.28,6,502814.28
8,2025-12-13,venta_invalida,4,Andres,Martinez Diaz,16792839,1,9321,Vestido,XL,-5,87896.52,439482.6,5,439482.6
10,2025-10-28,venta_invalida,15,Andres,Castillo Rojas,91197873,1,8665,Chaqueta,XL,4,110313.17,441252.68,5,587295.2
10,2025-10-28,venta_invalida,15,Andres,Castillo Rojas,91197873,2,1809,  Zapatos  ,41,1,146042.52,146042.52,5,587295.2
13,2025-09-29,venta_invalida,17,Diego,Diaz Castillo,14215995,1,9570,ZAPATOS,42,2,155156.78,310313.56,2,310313.56
16,2025-10-29,venta_invalida,25,Laura,Castro Castro,88137437,1,1523,  Gorra  ,Unica,6,31582.68,189496.08,6,189496.08
17,2026-01-17,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,1,3011,SUDADERA,XXL,1,126816.21,126816.21,17,1374277.89
17,2026-01-17,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,2,2264,Pantalon,28,3,96726.8,290180.4,17,1374277.89
17,2026-01-17,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,3,1913,Gorra,Unica,6,29984.37,179906.22,17,1374277.89
17,2026-01-17,venta_invalida,21,Pedro,Mendoza Sanchez,82192051,4,8183,Pantalon,32,6,102826.09,616956.54,17,1374277.89
