id,nombres,apellidos,salario_base,documento,fecha_ingreso
1,Valentina,Ruiz Ruiz,1435036.09,85701278,2018-03-11
2,Pedro,Castillo Mendoza,2571681.28,39966881,2021-12-05
3,Ana,Romero Romero,4198985.53,60551548,2023-10-11
4,Camila,Torres Ramirez,3253348.15,46821172,2016-07-20
5,Pedro,Ruiz Mendoza,3925770.01,59409021,2017-06-30
6,Andres,Torres Castillo,4152510.55,99937754,2022-12-13
7,David,Velasquez Quadros,2125627.37,77455507,2023-04-25
8,Laura,Torres Ruiz,1821763.83,42851831,2021-06-09
9,Edward,Hernandez Ruiz,2128158.16,32145144,2019-08-19
10,Diego,Ruiz Romero,1361840.94,81057481,2020-05-01
11,Pedro,Morales Quadros,3859850.37,55953098,2019-11-16
12,Sofia,Hernandez Mendoza,4177283.17,80563138,2022-06-18
13,Andres,Castillo Martinez,2904776.25,93984404,2017-06-15
14,Pedro,Diaz Garcia,3202775.16,45490223,2018-07-31
15,Luis,Vargas Vargas,4455335.79,78052867,2017-02-27
16,Miguel,Torres Morales,3107687.18,34980421,2022-08-18
17,Camila,Velasquez Sanchez,4002623.31,34511778,2019-05-20
18,Andres,Castillo Castillo,4114601.66,31401014,2020-01-09
19,Andres,Navarro Ramirez,2639019.16,22714492,2025-09-22
20,Laura,Martinez Velasquez,3054209.34,46132428,2026-02-05
21,Natalia,Vargas Mendoza,3079229.6,69750374,2019-12-30
22,Alejandra,Morales Castillo,4478214.87,31031473,2019-08-07
23,Pedro,Martinez Navarro,4239017.06,51591683,2021-02-14
24,Andres,Castillo Vargas,1969166.72,25191731,2023-12-09
25,Andres,Castro Romero,1898491.65,54824843,2025-11-24
