id_venta,fecha,vendedor_id,vendedor_nombres,vendedor_apellidos,vendedor_documento,id_detalle,id_producto,producto,talla,cantidad_unitaria,precio_unitario,total_producto,total_productos_vendidos,total_pagar
2,2025-11-30,4,Andres,Martinez Diaz,16792839,1,2722,Chaqueta,L,2,122612.23,245224.46,14,983412.44
2,2025-11-30,4,Andres,Martinez Diaz,16792839,2,5980,Gorra,Unica,3,30049.79,90149.37,14,983412.44
2,2025-11-30,4,Andres,Martinez Diaz,16792839,3,1032,Sudadera,XXL,3,127975.97,383927.91,14,983412.44
2,2025-11-30,4,Andres,Martinez Diaz,16792839,4,3102,Camiseta,S,6,44018.45,264110.7,14,983412.44
4,2026-02-02,22,Natalia,Diaz Castro,57468206,1,8224,Vestido,XL,1,126783.87,126783.87,10,985460.58
4,2026-02-02,22,Natalia,Diaz Castro,57468206,2,9942,Camiseta,XS,3,53311.47,159934.41,10,985460.58
4,2026-02-02,22,Natalia,Diaz Castro,57468206,3,4736,Vestido,XL,6,116457.05,698742.3,10,985460.58
5,2025-10-06,14,Daniela,Torres Quadros,28884941,1,1577,Chaqueta,L,3,131369.16,394107.48,7,561600.12
5,2025-10-06,14,Daniela,Torres Quadros,28884941,2,9382,Camiseta,XL,4,41873.16,167492.64,7,561600.12
7,2025-11-27,24,Alejandra,Vargas Quadros,47589292,1,4338,Chaqueta,L,2,131412.44,262824.88,5,553238.26
7,2025-11-27,24,Alejandra,Vargas Quadros,47589292,2,5081,Pantalon,30,3,96804.46,290413.38,5,553238.26
9,2026-03-09,7,Edward,Vargas Ramirez,17271089,1,7246,Camiseta,S,2,53660.97,107321.94,2,107321.94
11,2025-10-11,7,Edward,Vargas Ramirez,17271089,1,6964,Vestido,XL,2,89609.77,179219.54,6,539333.56
11,2025-10-11,7,Edward,Vargas Ramirez,17271089,2,6143,Pantalon,28,1,81841.25,81841.25,6,539333.56
11,2025-10-11,7,Edward,Vargas Ramirez,17271089,3,5155,Pantalon,32,3,92757.59,278272.77,6,539333.56
12,2025-12-15,7,Edward,Vargas Ramirez,17271089,1,1333,Zapatos,39,6,174830.75,1048984.5,9,1388350.06
12,2025-12-15,7,Edward,Vargas Ramirez,17271089,2,1600,Pantalon,40,2,104059.77,208119.54,9,1388350.06
12,2025-12-15,7,Edward,Vargas Ramirez,17271089,3,5411,Zapatos,38,1,131246.02,131246.02,9,1388350.06
14,2025-10-26,19,Natalia,Rojas Torres,85637973,1,8002,Vestido,XL,6,104267.46,625604.76,6,625604.76
15,2025-10-10,19,Natalia,Rojas Torres,85637973,1,9717,Camiseta,XS,1,46978.83,46978.83,1,46978.83
20,2025-12-23,14,Daniela,Torres Quadros,28884941,1,6458,Gorra,Unica,4,26732.24,106928.96,7,533963.72
20,2025-12-23,14,Daniela,Torres Quadros,28884941,2,6215,Zapatos,36,3,142344.92,427034.76,7,533963.72
22,2026-01-07,1,Daniela,Ruiz Garcia,43519853,1,5295,Gorra,Unica,4,31305.01,125220.04,13,1058575.41
22,2026-01-07,1,Daniela,Ruiz Garcia,43519853,2,9644,Pantalon,36,2,88164.73,176329.46,13,1058575.41
22,2026-01-07,1,Daniela,Ruiz Garcia,43519853,3,5082,Pantalon,34,4,83467.5,333870.0,13,1058575.41
22,2026-01-07,1,Daniela,Ruiz Garcia,43519853,4,5164,Sudadera,M,3,141051.97,423155.91,13,1058575.41
23,2025-10-26,17,Diego,Diaz Castillo,14215995,1,8224,Vestido,L,5,100120.42,500602.1,6,583489.68
23,2025-10-26,17,Diego,Diaz Castillo,14215995,2,4306,Pantalon,30,1,82887.58,82887.58,6,583489.68
24,2025-09-28,17,Diego,Diaz Castillo,14215995,1,6342,Gorra,Unica,1,37511.76,37511.76,10,806451.24
24,2025-09-28,17,Diego,Diaz Castillo,14215995,2,3289,Camiseta,XXL,1,44195.2,44195.2,10,806451.24
24,2025-09-28,17,Diego,Diaz Castillo,14215995,3,6711,Pantalon,34,2,89534.38,179068.76,10,806451.24
24,2025-09-28,17,Diego,Diaz Castillo,14215995,4,3565,Pantalon,32,6,90945.92,545675.52,10,806451.24
26,2026-01-08,23,Camila,Navarro Ruiz,13182175,1,1096,Zapatos,42,5,114944.45,574722.25,11,990780.52
26,2026-01-08,23,Camila,Navarro Ruiz,13182175,2,7393,Camiseta,XS,3,43840.81,131522.43,11,990780.52
26,2026-01-08,23,Camila,Navarro Ruiz,13182175,3,9664,Pantalon,28,3,94845.28,284535.84,11,990780.52
28,2026-02-11,4,Andres,Martinez Diaz,16792839,1,5524,Zapatos,42,5,164902.79,824513.95,16,2106674.61
28,2026-02-11,4,Andres,Martinez Diaz,16792839,2,1229,Pantalon,28,3,102203.52,306610.56,16,2106674.61
28,2026-02-11,4,Andres,Martinez Diaz,16792839,3,4954,Pantalon,38,5,108256.28,541281.4,16,2106674.61
28,2026-02-11,4,Andres,Martinez Diaz,16792839,4,7395,Vestido,M,1,122654.24,122654.24,16,2106674.61
28,2026-02-11,4,Andres,Martinez Diaz,16792839,5,5384,Zapatos,42,2,155807.23,311614.46,16,2106674.61
29,2025-12-07,22,Natalia,Diaz Castro,57468206,1,7500,Pantalon,34,1,85786.79,85786.79,8,394850.57
29,2025-12-07,22,Natalia,Diaz Castro,57468206,2,3914,Camiseta,M,3,39224.7,117674.1,8,394850.57
29,2025-12-07,22,Natalia,Diaz Castro,57468206,3,4128,Camiseta,M,4,47847.42,191389.68,8,394850.57
30,2026-01-21,7,Edward,Vargas Ramirez,17271089,1,2545,Sudadera,M,3,100908.87,302726.61,3,302726.61
